Date,Adj Close,Close,High,Low,Open,Volume,Daily_Return,MA_7,MA_21,Volatility_7,Volume_Change,Target
2020-09-21,2113.48681640625,2465.300048828125,2504.89990234375,2452.14990234375,2465.0,4598809,0.0062860308985042135,2462.2928292410716,2340.8737909226193,0.021103487473037398,0.0993372148393501,1
2020-09-22,2162.91015625,2522.949951171875,2555.0,2458.0,2485.0,7499613,0.023384537866355748,2483.5570940290177,2353.9618791852677,0.021581392368920035,0.6307728805436363,0
2020-09-23,2115.330322265625,2467.449951171875,2519.85009765625,2409.0,2510.0,7502280,-0.02199805825486989,2480.135672433036,2364.6666434151784,0.01518150462855758,0.00035561834990693875,0
2020-09-24,1999.423828125,2332.25,2450.0,2302.60009765625,2450.0,8424708,-0.054793391496214094,2457.399972098214,2368.4166434151784,0.025219001539792882,0.12295302228122651,1
2020-09-25,2076.62353515625,2422.300048828125,2440.0,2352.10009765625,2368.0,8228267,0.03861080451414933,2445.871407645089,2376.6976027715773,0.03092708759969255,-0.02331724731587137,1
2020-09-28,2080.05224609375,2426.300048828125,2444.0,2366.0,2440.0,4347166,0.0016513230893651087,2440.9214215959823,2385.6380789620534,0.030462720467868114,-0.4716790303474595,1
2020-09-29,2133.290283203125,2488.39990234375,2511.050048828125,2426.300048828125,2434.85009765625,6995811,0.025594465756870743,2446.4214215959823,2396.645217168899,0.03207031904602145,0.6092808510188017,1
2020-09-30,2136.6337890625,2492.300048828125,2505.0,2460.0,2489.0,3917166,0.0015673310711439292,2450.278564453125,2408.3571196056546,0.032031372994749764,-0.4400697789005449,1
2020-10-01,2163.338623046875,2523.449951171875,2540.0,2492.300048828125,2510.0,2610337,0.01249845593767751,2450.3499930245534,2420.6571219308034,0.031070070344316244,-0.33361593560242275,1
2020-10-05,2319.666015625,2705.800048828125,2728.10009765625,2603.050048828125,2620.0,17412105,0.07226222084237,2484.4000069754466,2440.0047433035716,0.039107550831543325,5.6704433182382195,1
2020-10-06,2326.95361328125,2714.300048828125,2736.0,2650.10009765625,2736.0,9846367,0.003141399898962005,2538.978585379464,2460.266648065476,0.026116302127515725,-0.4345102444534994,1
